コントロール番号,統制分類,統制目的,リスク,コントロール活動,コントロール頻度,コントロール担当者,評価種別,テスト手続,サンプル数,エビデンス種類,前年度実施日,前年度対象期間,前年度確認した証跡,前年度確認観点,前年度テスト結果,前年度発見事項
ITGC-001,アクセス管理,システムへの不正アクセスを防止する,権限のない者がシステムにアクセスし、データを改ざんまたは漏洩するリスク,ユーザーIDの新規登録・変更・削除は申請書に基づき承認を得て実施する,都度,IT部門管理者,整備状況評価,ユーザーID管理規定およびマニュアルの閲覧・査閲,1,ユーザーID管理規定・手順書,2025-11-15,2025年度,「ユーザーID管理規定 v3.2」「ユーザーID登録・変更・削除手順書 v2.1」,申請・承認・実施の職務分離が規定されているか/承認者の権限レベルが適切に定義されているか/削除時の資産返却確認プロセスが含まれているか,適合,なし
ITGC-001,アクセス管理,システムへの不正アクセスを防止する,権限のない者がシステムにアクセスし、データを改ざんまたは漏洩するリスク,ユーザーIDの新規登録・変更・削除は申請書に基づき承認を得て実施する,都度,IT部門管理者,運用状況評価,申請書と承認記録の査閲および実際のユーザーマスタとの突合,24,ユーザーID申請書・承認記録・ユーザーマスタ,2025-11-20,2025/04-2025/09,新規登録8件・権限変更10件・削除6件の申請書/承認記録（電子ワークフロー）/ユーザーマスタ抽出データ（2025/09/30時点）,申請書の必須項目記入漏れがないか/承認者の電子署名と承認日付が記録されているか/申請内容とマスタ登録内容が一致しているか/削除申請の退職日とマスタ削除日が一致しているか,適合,なし
ITGC-002,アクセス管理,特権IDの適切な管理,特権IDの不正使用によるシステム設定変更やデータ改ざんのリスク,特権IDのパスワードは定期的に変更し、使用記録を保管する,月次,IT部門長,整備状況評価,特権ID管理規定およびパスワード管理手順書の閲覧・査閲,1,特権ID管理規定・パスワード管理手順書,2025-11-15,2025年度,「特権ID管理規定 v2.0」「パスワード管理手順書 v1.5」,パスワード変更頻度（月次）が明記されているか/特権ID使用時の申請・承認プロセスが定義されているか/使用ログの保管期間が定義されているか,適合,なし
ITGC-002,アクセス管理,特権IDの適切な管理,特権IDの不正使用によるシステム設定変更やデータ改ざんのリスク,特権IDのパスワードは定期的に変更し、使用記録を保管する,月次,IT部門長,運用状況評価,パスワード変更記録と特権ID使用ログの査閲および変更実施状況の確認,4,パスワード変更記録・特権ID使用ログ,2025-11-22,2025/06-2025/09,パスワード変更記録4ヶ月分（Excel管理台帳）/特権ID使用ログ（syslog形式）4ヶ月分,各月のパスワード変更が月末までに実施されているか/変更実施者が部門長であるか/使用ログに使用者・使用日時・使用目的が記録されているか/使用目的と変更管理票が紐付いているか,適合,なし
ITGC-003,アクセス管理,退職者のアクセス権限削除,退職者のアカウントが残存し不正アクセスに利用されるリスク,退職者リストと照合し、退職日にアクセス権限を削除する,月次,IT部門管理者,整備状況評価,退職者アカウント削除手順書の閲覧・査閲,1,退職者アカウント削除手順書,2025-11-15,2025年度,「退職者アカウント削除手順書 v1.3」,人事部からの退職者リスト受領プロセスが定義されているか/削除実施のタイミング（退職日当日）が明記されているか/削除完了の確認方法が記載されているか,適合,なし
ITGC-003,アクセス管理,退職者のアクセス権限削除,退職者のアカウントが残存し不正アクセスに利用されるリスク,退職者リストと照合し、退職日にアクセス権限を削除する,月次,IT部門管理者,運用状況評価,退職者リストとアカウント削除記録の突合およびユーザーマスタでの削除確認,5,退職者リスト・アカウント削除記録・ユーザーマスタ,2025-11-25,2025/05-2025/09,人事部提供の退職者リスト5ヶ月分（PDF）/アカウント削除作業記録（Excel）/ユーザーマスタ月次スナップショット,退職者リストの全員がアカウント削除記録に含まれているか/削除実施日が退職日以降3営業日以内か/ユーザーマスタで該当アカウントのステータスが「無効」になっているか,不備あり,2025年7月の退職者1名について、削除実施が退職日から5営業日後となっており手順書の基準（3営業日以内）を逸脱。原因は担当者の夏季休暇による対応遅延。改善策として代行者の明確化を実施済み。
ITGC-004,アクセス管理,職務分離の徹底,同一人物が複数の重要な権限を保有することによる不正のリスク,開発・運用・承認の職務を分離し、定期的にアクセス権限をレビューする,四半期,IT部門長,整備状況評価,職務分離マトリクスおよびアクセス権限管理規定の閲覧・査閲,1,職務分離マトリクス・アクセス権限管理規定,2025-11-15,2025年度,「職務分離マトリクス v4.0」「アクセス権限管理規定 v3.1」,開発・運用・承認の職務が明確に分離されているか/兼務が許容されない権限の組み合わせが定義されているか/レビュー頻度（四半期）が明記されているか,適合,なし
ITGC-004,アクセス管理,職務分離の徹底,同一人物が複数の重要な権限を保有することによる不正のリスク,開発・運用・承認の職務を分離し、定期的にアクセス権限をレビューする,四半期,IT部門長,運用状況評価,アクセス権限マトリクスとレビュー記録の査閲および職務分離状況の分析,3,アクセス権限マトリクス・レビュー記録・権限分析レポート,2025-11-28,2025/Q2-Q4,四半期ごとのアクセス権限マトリクス（Excel）/レビュー会議議事録/権限分析レポート（Tableau出力）,職務分離違反（SOD違反）がないか/レビュー会議が四半期末から1ヶ月以内に実施されているか/検出された例外事項に対する承認・代替統制が文書化されているか,適合,なし
ITGC-005,変更管理,システム変更の承認統制,未承認のシステム変更による業務への影響やセキュリティリスク,システム変更は変更管理票に基づき、承認を得てから実施する,都度,IT部門管理者,整備状況評価,変更管理規定および変更管理票フォーマットの閲覧・査閲,1,変更管理規定・変更管理票フォーマット,2025-11-16,2025年度,「変更管理規定 v5.1」「変更管理票テンプレート v3.0」,変更の影響度評価基準が定義されているか/承認者が影響度に応じて階層化されているか/変更実施前の承認取得が必須とされているか/ロールバック計画の作成が義務付けられているか,適合,なし
ITGC-005,変更管理,システム変更の承認統制,未承認のシステム変更による業務への影響やセキュリティリスク,システム変更は変更管理票に基づき、承認を得てから実施する,都度,IT部門管理者,運用状況評価,変更管理票と承認記録の査閲および変更履歴ログとの突合,5,変更管理票・承認記録・変更履歴ログ,2025-12-02,2025/04-2025/09,変更管理票5件（ServiceNowから抽出）/承認フロー記録（電子ワークフロー）/Gitコミット履歴・本番環境デプロイログ,変更管理票の必須項目が全て記入されているか/承認日が変更実施日より前か/承認者が規定に従った権限者か/変更履歴ログと変更管理票の変更内容が一致しているか,適合,なし
ITGC-006,変更管理,本番環境への移行承認,テスト不十分なプログラムが本番環境に移行されるリスク,本番移行前にテスト結果を確認し、承認を得る,都度,IT部門長,整備状況評価,本番移行管理規定およびテスト手順書の閲覧・査閲,1,本番移行管理規定・テスト手順書,2025-11-16,2025年度,「本番移行管理規定 v2.3」「システムテスト手順書 v4.0」,テスト工程（単体・結合・総合・UAT）が定義されているか/各工程の合格基準が明記されているか/本番移行の承認者（部門長以上）が定義されているか,適合,なし
ITGC-006,変更管理,本番環境への移行承認,テスト不十分なプログラムが本番環境に移行されるリスク,本番移行前にテスト結果を確認し、承認を得る,都度,IT部門長,運用状況評価,本番移行申請書とテスト結果報告書の査閲および本番環境への反映確認,4,本番移行申請書・テスト結果報告書・本番環境スクリーンショット,2025-12-03,2025/05-2025/09,本番移行申請書4件（PDF）/テスト結果報告書（Excelテストケース一覧・エビデンススクリーンショット）/本番環境反映確認画面キャプチャ,全テスト工程が完了し合格しているか/部門長の承認署名と日付があるか/本番移行申請日時と実際のデプロイ日時が一致しているか/本番環境で変更内容が正しく反映されているか,適合,なし
ITGC-007,変更管理,緊急変更の事後承認,緊急時の変更が適切に記録・承認されないリスク,緊急変更は事後速やかに承認を取得し、記録を保管する,都度,IT部門管理者,整備状況評価,緊急変更管理規定の閲覧・査閲,1,緊急変更管理規定,2025-11-16,2025年度,「緊急変更管理規定 v1.2」,緊急変更の定義（システム停止・重大障害等）が明確か/事後承認の期限（24時間以内）が定義されているか/緊急変更実施時の連絡体制が明記されているか,適合,なし
ITGC-007,変更管理,緊急変更の事後承認,緊急時の変更が適切に記録・承認されないリスク,緊急変更は事後速やかに承認を取得し、記録を保管する,都度,IT部門管理者,運用状況評価,緊急変更記録と事後承認記録の査閲および変更実施タイムスタンプの確認,3,緊急変更記録・事後承認記録・システムログ,2025-12-04,2025/04-2025/09,緊急変更記録3件（インシデント管理システムから抽出）/事後承認メール/システム変更ログ（タイムスタンプ付き）,緊急変更の理由が妥当か（システム停止等）/変更実施から24時間以内に事後承認が取得されているか/システムログのタイムスタンプと緊急変更記録の日時が整合しているか,適合,なし
ITGC-008,変更管理,変更のロールバック手順,変更失敗時に迅速に復旧できないリスク,変更実施前にロールバック手順を文書化し、承認を得る,都度,IT部門管理者,整備状況評価,ロールバック手順テンプレートの閲覧・査閲,1,ロールバック手順テンプレート,2025-11-16,2025年度,「ロールバック手順書テンプレート v2.0」,ロールバック実施の判断基準が定義されているか/手順書に含めるべき項目（手順・所要時間・確認方法）が明記されているか/ロールバック実施の承認者が定義されているか,適合,なし
ITGC-008,変更管理,変更のロールバック手順,変更失敗時に迅速に復旧できないリスク,変更実施前にロールバック手順を文書化し、承認を得る,都度,IT部門管理者,運用状況評価,ロールバック手順書の査閲および変更管理票との紐付け確認,4,ロールバック手順書・変更管理票,2025-12-05,2025/05-2025/09,ロールバック手順書4件（Word文書）/対応する変更管理票,ロールバック手順が具体的に記載されているか（コマンド・操作手順等）/所要時間が見積もられているか/変更管理票にロールバック手順書が添付されているか/承認者の承認記録があるか,適合,なし
ITGC-009,バックアップ・復旧,データバックアップの実施,システム障害時にデータが復旧できないリスク,重要データは毎日バックアップを実施し、記録を保管する,日次,IT運用担当者,整備状況評価,バックアップ運用手順書およびバックアップポリシーの閲覧・査閲,1,バックアップ運用手順書・バックアップポリシー,2025-11-17,2025年度,「バックアップ運用手順書 v3.1」「バックアップポリシー v2.0」,バックアップ対象システム・データが定義されているか/バックアップ頻度（日次）と実施時刻が明記されているか/バックアップ世代管理（保管期間）が定義されているか/バックアップ失敗時のエスカレーション手順が記載されているか,適合,なし
ITGC-009,バックアップ・復旧,データバックアップの実施,システム障害時にデータが復旧できないリスク,重要データは毎日バックアップを実施し、記録を保管する,日次,IT運用担当者,運用状況評価,バックアップログの査閲およびバックアップ成功率の分析,5,バックアップログ・バックアップ成功率レポート,2025-12-06,2025/05-2025/09,バックアップログ5ヶ月分（Veeam Backup出力CSV）/月次バックアップ成功率レポート（Excel集計表）,毎日バックアップが実行されているか/バックアップ成功率が99%以上か/失敗時のリトライ・エスカレーションが記録されているか/バックアップデータサイズの異常な増減がないか,適合,なし
ITGC-010,バックアップ・復旧,バックアップの定期検証,バックアップデータが正常に復旧できないリスク,バックアップデータの復旧テストを定期的に実施する,四半期,IT運用担当者,整備状況評価,復旧テスト手順書の閲覧・査閲,1,復旧テスト手順書,2025-11-17,2025年度,「バックアップ復旧テスト手順書 v1.4」,復旧テストの実施頻度（四半期）が明記されているか/テスト対象システムが定義されているか/復旧成功の判定基準が明確か/テスト結果の報告先が定義されているか,適合,なし
ITGC-010,バックアップ・復旧,バックアップの定期検証,バックアップデータが正常に復旧できないリスク,バックアップデータの復旧テストを定期的に実施する,四半期,IT運用担当者,運用状況評価,復旧テスト報告書の査閲およびテスト結果の確認,3,復旧テスト報告書・テスト結果スクリーンショット,2025-12-09,2025/Q2-Q4,復旧テスト報告書3件（PowerPoint）/復旧テスト時のスクリーンショット（復旧前後のデータ比較）,四半期ごとにテストが実施されているか/復旧所要時間が記録されているか/復旧データの整合性が確認されているか（件数・金額等の一致）/発見された問題点と改善策が記載されているか,適合,なし
ITGC-011,バックアップ・復旧,バックアップ媒体の遠隔保管,災害時にバックアップ媒体も損失するリスク,バックアップ媒体を遠隔地に保管し、保管記録を管理する,月次,IT運用担当者,整備状況評価,遠隔保管管理規定の閲覧・査閲,1,遠隔保管管理規定,2025-11-17,2025年度,「バックアップ媒体遠隔保管管理規定 v1.1」,遠隔保管場所（データセンター所在地）が定義されているか/搬送頻度（月次）が明記されているか/保管場所の環境基準（温湿度・セキュリティ）が定義されているか,適合,なし
ITGC-011,バックアップ・復旧,バックアップ媒体の遠隔保管,災害時にバックアップ媒体も損失するリスク,バックアップ媒体を遠隔地に保管し、保管記録を管理する,月次,IT運用担当者,運用状況評価,遠隔保管記録の査閲および保管場所の確認,4,遠隔保管記録・保管場所写真,2025-12-10,2025/06-2025/09,遠隔保管記録4ヶ月分（搬送業者の受領書・管理台帳）/保管場所の写真（データセンターラック・温湿度計）,毎月搬送が実施されているか/搬送業者の受領サインと日付があるか/保管場所が本番環境から十分離れているか（50km以上）/保管環境が適切か（温度15-25℃・湿度40-60%）,適合,なし
ITGC-012,システム運用,システム監視とインシデント対応,システム障害の早期発見と対応の遅延リスク,24時間システム監視を実施し、インシデントを記録・対応する,都度,IT運用担当者,整備状況評価,インシデント管理規定および対応手順書の閲覧・査閲,1,インシデント管理規定・対応手順書,2025-11-18,2025年度,「インシデント管理規定 v4.2」「インシデント対応手順書 v3.0」,インシデントの優先度分類（Critical/High/Medium/Low）が定義されているか/優先度別の対応時間（SLA）が明記されているか/エスカレーション基準と連絡体制が定義されているか,適合,なし
ITGC-012,システム運用,システム監視とインシデント対応,システム障害の早期発見と対応の遅延リスク,24時間システム監視を実施し、インシデントを記録・対応する,都度,IT運用担当者,運用状況評価,インシデント管理記録の査閲および対応時間の分析,5,インシデント管理記録・対応時間分析レポート,2025-12-11,2025/04-2025/09,インシデント管理記録5件（Jiraチケット）/対応時間分析レポート（Excel・グラフ付き）,インシデントの検知から記録までの時間が適切か/優先度が正しく設定されているか/SLA内に対応完了しているか/根本原因分析と再発防止策が記載されているか,適合,なし
ITGC-013,システム運用,バッチ処理の監視,バッチ処理の失敗による業務データの不整合リスク,バッチ処理の実行結果を毎日確認し、異常時は対応する,日次,IT運用担当者,整備状況評価,バッチ処理運用手順書の閲覧・査閲,1,バッチ処理運用手順書,2025-11-18,2025年度,「バッチ処理運用手順書 v2.5」,バッチ処理一覧（処理名・実行時刻・依存関係）が定義されているか/正常終了・異常終了の判定基準が明記されているか/異常時の対応手順（リラン・データ修正等）が記載されているか,適合,なし
ITGC-013,システム運用,バッチ処理の監視,バッチ処理の失敗による業務データの不整合リスク,バッチ処理の実行結果を毎日確認し、異常時は対応する,日次,IT運用担当者,運用状況評価,バッチ処理実行ログの査閲および異常発生時の対応記録確認,5,バッチ処理実行ログ・異常対応記録,2025-12-12,2025/05-2025/09,バッチ処理実行ログ5ヶ月分（JP1/AJS出力ログ・CSV形式）/異常発生時の対応記録（運用日誌・Excel）,全バッチ処理が毎日実行されているか/正常終了率が95%以上か/異常終了時に30分以内に対応開始されているか/リラン実施記録と業務部門への報告記録があるか,適合,なし
ITGC-014,システム運用,システムリソースの監視,システムリソース不足による性能低下や停止のリスク,CPU・メモリ・ディスク使用率を監視し、閾値超過時は対応する,日次,IT運用担当者,整備状況評価,システムリソース監視手順書および閾値設定書の閲覧・査閲,1,システムリソース監視手順書・閾値設定書,2025-11-18,2025年度,「システムリソース監視手順書 v1.8」「監視閾値設定書 v3.0」,監視対象リソース（CPU・メモリ・ディスク・ネットワーク）が定義されているか/警告・危険の閾値が設定されているか/閾値超過時のアラート通知先が定義されているか,適合,なし
ITGC-014,システム運用,システムリソースの監視,システムリソース不足による性能低下や停止のリスク,CPU・メモリ・ディスク使用率を監視し、閾値超過時は対応する,日次,IT運用担当者,運用状況評価,システムリソース監視レポートの査閲および閾値超過時の対応記録確認,4,システムリソース監視レポート・閾値超過対応記録,2025-12-13,2025/06-2025/09,システムリソース監視レポート4ヶ月分（Zabbix出力PDF）/閾値超過対応記録（運用日誌）,リソース使用率が毎日記録されているか/閾値超過が発生した場合にアラートが発報されているか/閾値超過時に原因調査と対応（容量追加・プロセス停止等）が実施されているか,適合,なし
ITGC-015,セキュリティ管理,ウイルス対策ソフトの更新,マルウェア感染によるデータ漏洩やシステム停止のリスク,ウイルス対策ソフトの定義ファイルを自動更新し、更新状況を確認する,週次,IT運用担当者,整備状況評価,ウイルス対策運用手順書の閲覧・査閲,1,ウイルス対策運用手順書,2025-11-19,2025年度,「ウイルス対策運用手順書 v2.2」,ウイルス対策ソフトの種類（Trend Micro Apex One等）が明記されているか/定義ファイルの自動更新設定が定義されているか/更新状況の確認頻度（週次）が明記されているか,適合,なし
ITGC-015,セキュリティ管理,ウイルス対策ソフトの更新,マルウェア感染によるデータ漏洩やシステム停止のリスク,ウイルス対策ソフトの定義ファイルを自動更新し、更新状況を確認する,週次,IT運用担当者,運用状況評価,ウイルス対策ソフト更新状況レポートの査閲および定義ファイルバージョンの確認,3,ウイルス対策ソフト更新状況レポート・定義ファイルバージョンリスト,2025-12-16,2025/07-2025/09,ウイルス対策ソフト更新状況レポート3ヶ月分（管理コンソール出力PDF）/定義ファイルバージョンリスト（CSV）,全端末で定義ファイルが最新版に更新されているか/更新失敗端末がある場合に対応記録があるか/ウイルス検知があった場合に隔離・駆除が実施されているか,適合,なし
ITGC-016,セキュリティ管理,脆弱性スキャンの実施,システムの脆弱性が放置され攻撃を受けるリスク,定期的に脆弱性スキャンを実施し、検出された脆弱性に対応する,月次,IT部門管理者,整備状況評価,脆弱性管理規定およびスキャン実施手順書の閲覧・査閲,1,脆弱性管理規定・スキャン実施手順書,2025-11-19,2025年度,「脆弱性管理規定 v3.0」「脆弱性スキャン実施手順書 v1.5」,脆弱性スキャンの実施頻度（月次）が明記されているか/スキャン対象システムが定義されているか/脆弱性の深刻度（Critical/High/Medium/Low）別の対応期限が定義されているか,適合,なし
ITGC-016,セキュリティ管理,脆弱性スキャンの実施,システムの脆弱性が放置され攻撃を受けるリスク,定期的に脆弱性スキャンを実施し、検出された脆弱性に対応する,月次,IT部門管理者,運用状況評価,脆弱性スキャン報告書の査閲および検出された脆弱性の対応状況確認,4,脆弱性スキャン報告書・脆弱性対応記録,2025-12-17,2025/06-2025/09,脆弱性スキャン報告書4ヶ月分（Tenable Nessus出力PDF）/脆弱性対応記録（Excel管理台帳）,毎月スキャンが実施されているか/検出された脆弱性が深刻度別に分類されているか/Critical・High脆弱性が規定期限内（30日以内）に対応されているか/対応方法（パッチ適用・設定変更・リスク受容等）が記録されているか,適合,なし
ITGC-017,セキュリティ管理,パッチ適用管理,セキュリティパッチ未適用による脆弱性のリスク,セキュリティパッチを定期的に適用し、適用記録を保管する,月次,IT運用担当者,整備状況評価,パッチ適用管理規定および適用手順書の閲覧・査閲,1,パッチ適用管理規定・適用手順書,2025-11-19,2025年度,「パッチ適用管理規定 v2.1」「パッチ適用手順書 v1.7」,パッチ適用の実施頻度（月次）が明記されているか/緊急パッチの適用基準（Critical脆弱性は即時等）が定義されているか/適用前のテスト環境での検証が義務付けられているか,適合,なし
ITGC-017,セキュリティ管理,パッチ適用管理,セキュリティパッチ未適用による脆弱性のリスク,セキュリティパッチを定期的に適用し、適用記録を保管する,月次,IT運用担当者,運用状況評価,パッチ適用記録の査閲およびシステムへの適用状況確認,5,パッチ適用記録・システムパッチ状況レポート,2025-12-18,2025/05-2025/09,パッチ適用記録5ヶ月分（Excel管理台帳）/システムパッチ状況レポート（WSUS出力CSV）,毎月パッチ適用が実施されているか/適用前にテスト環境での検証記録があるか/全対象サーバーにパッチが適用されているか/適用失敗があった場合の原因調査と再適用記録があるか,適合,なし
ITGC-018,セキュリティ管理,ファイアウォールルールのレビュー,不適切なファイアウォール設定による不正アクセスのリスク,ファイアウォールルールを定期的にレビューし、不要なルールを削除する,四半期,IT部門管理者,整備状況評価,ファイアウォール管理規定の閲覧・査閲,1,ファイアウォール管理規定,2025-11-20,2025年度,「ファイアウォール管理規定 v1.8」,ファイアウォールルールのレビュー頻度（四半期）が明記されているか/ルール追加・変更時の承認プロセスが定義されているか/不要ルールの削除基準が定義されているか,適合,なし
ITGC-018,セキュリティ管理,ファイアウォールルールのレビュー,不適切なファイアウォール設定による不正アクセスのリスク,ファイアウォールルールを定期的にレビューし、不要なルールを削除する,四半期,IT部門管理者,運用状況評価,ファイアウォールルール設定書とレビュー記録の査閲および変更履歴の確認,3,ファイアウォールルール設定書・レビュー記録・変更履歴,2025-12-19,2025/Q2-Q4,ファイアウォールルール設定書3四半期分（Cisco ASA設定ファイル・テキスト形式）/レビュー会議議事録/変更履歴（Excel）,四半期ごとにレビューが実施されているか/各ルールの使用状況（トラフィック有無）が確認されているか/不要ルールが削除されているか/新規追加・変更ルールに承認記録があるか,適合,なし
ITGC-019,データ管理,データベースアクセスログの保管,不正なデータベースアクセスが検知できないリスク,データベースアクセスログを保管し、定期的にレビューする,月次,IT部門管理者,整備状況評価,データベースアクセス管理規定およびログ保管手順書の閲覧・査閲,1,データベースアクセス管理規定・ログ保管手順書,2025-11-20,2025年度,「データベースアクセス管理規定 v2.3」「監査ログ保管手順書 v1.2」,データベース監査ログの取得項目（ユーザー・日時・操作内容・対象テーブル等）が定義されているか/ログ保管期間（1年以上）が明記されているか/レビュー頻度（月次）が定義されているか,適合,なし
ITGC-019,データ管理,データベースアクセスログの保管,不正なデータベースアクセスが検知できないリスク,データベースアクセスログを保管し、定期的にレビューする,月次,IT部門管理者,運用状況評価,データベースアクセスログとレビュー記録の査閲および異常アクセスの検証,4,データベースアクセスログ・レビュー記録・異常アクセス分析,2025-12-20,2025/06-2025/09,データベースアクセスログ4ヶ月分（Oracle監査ログ・CSV形式）/レビュー記録（Excel）/異常アクセス分析レポート（SQL集計結果）,監査ログが毎日取得されているか/月次でレビューが実施されているか/業務時間外アクセス・大量データ抽出・DDL実行等の異常パターンが検証されているか/異常検知時の調査記録があるか,適合,なし
ITGC-020,データ管理,本番データの持ち出し制限,本番データの不正持ち出しによる情報漏洩のリスク,本番データの持ち出しは申請・承認を必須とし、記録を保管する,都度,IT部門長,整備状況評価,データ持ち出し管理規定の閲覧・査閲,1,データ持ち出し管理規定,2025-11-20,2025年度,「本番データ持ち出し管理規定 v3.0」,持ち出し可能な目的（障害調査・監査対応等）が定義されているか/申請・承認プロセス（部門長承認必須）が明記されているか/データマスキング・暗号化の実施が義務付けられているか/持ち出し後の削除確認プロセスが定義されているか,適合,なし
ITGC-020,データ管理,本番データの持ち出し制限,本番データの不正持ち出しによる情報漏洩のリスク,本番データの持ち出しは申請・承認を必須とし、記録を保管する,都度,IT部門長,運用状況評価,データ持ち出し申請書と承認記録の査閲および持ち出しログとの突合,3,データ持ち出し申請書・承認記録・持ち出しログ,2025-12-23,2025/04-2025/09,データ持ち出し申請書3件（PDF）/承認記録（電子ワークフロー）/データベース抽出ログ・USBデバイスログ,申請書に持ち出し目的・データ範囲・期間が明記されているか/部門長の承認があるか/マスキング・暗号化の実施記録があるか/持ち出しログと申請内容が一致しているか/返却・削除の確認記録があるか,適合,なし
ITGC-021,事業継続管理,災害復旧計画の策定,災害時に事業が継続できないリスク,災害復旧計画（DRP）を策定し、定期的に見直す,年次,IT部門長,整備状況評価,災害復旧計画書の閲覧・査閲および必要項目の網羅性確認,1,災害復旧計画書,2025-11-21,2025年度,「災害復旧計画書（DRP）v5.0」,想定災害シナリオ（地震・火災・サイバー攻撃等）が定義されているか/RTO・RPOが業務ごとに設定されているか/復旧手順・体制・連絡先が明記されているか/代替拠点・システムが定義されているか,適合,なし
ITGC-021,事業継続管理,災害復旧計画の策定,災害時に事業が継続できないリスク,災害復旧計画（DRP）を策定し、定期的に見直す,年次,IT部門長,運用状況評価,災害復旧計画の見直し記録および更新履歴の確認,3,計画見直し記録・更新履歴,2025-12-24,2023-2025,災害復旧計画見直し会議議事録3年分/計画書の改訂履歴（バージョン管理表）,年次で見直し会議が実施されているか/システム変更・組織変更が計画に反映されているか/見直し結果が文書化され承認されているか,適合,なし
ITGC-022,事業継続管理,災害復旧訓練の実施,災害時に計画通りに復旧できないリスク,災害復旧訓練を定期的に実施し、結果を記録する,年次,IT部門長,整備状況評価,災害復旧訓練実施手順書の閲覧・査閲,1,災害復旧訓練実施手順書,2025-11-21,2025年度,「災害復旧訓練実施手順書 v2.0」,訓練の実施頻度（年次）が明記されているか/訓練シナリオ（システム停止・データ復旧等）が定義されているか/参加者・役割分担が定義されているか/訓練結果の評価基準が明記されているか,適合,なし
ITGC-022,事業継続管理,災害復旧訓練の実施,災害時に計画通りに復旧できないリスク,災害復旧訓練を定期的に実施し、結果を記録する,年次,IT部門長,運用状況評価,災害復旧訓練報告書の査閲および改善事項の対応状況確認,3,災害復旧訓練報告書・改善事項対応記録,2025-12-25,2023-2025,災害復旧訓練報告書3年分（PowerPoint）/改善事項対応記録（Excel）,年次で訓練が実施されているか/訓練シナリオに沿って実施されているか/復旧所要時間がRTO内か/発見された課題と改善策が記載されているか/前年度の改善事項が対応されているか,適合,なし
ITGC-023,外部委託管理,外部委託先の評価,外部委託先の管理不備による業務リスク,外部委託先を定期的に評価し、SLA遵守状況を確認する,四半期,IT部門長,整備状況評価,外部委託管理規定および評価基準書の閲覧・査閲,1,外部委託管理規定・評価基準書,2025-11-22,2025年度,「外部委託管理規定 v4.1」「委託先評価基準書 v2.0」,委託先の選定基準が定義されているか/評価項目（品質・納期・セキュリティ等）と評価基準が明記されているか/SLA項目（可用性・応答時間等）が定義されているか/評価頻度（四半期）が明記されているか,適合,なし
ITGC-023,外部委託管理,外部委託先の評価,外部委託先の管理不備による業務リスク,外部委託先を定期的に評価し、SLA遵守状況を確認する,四半期,IT部門長,運用状況評価,外部委託先評価報告書とSLAレポートの査閲およびKPI達成状況の確認,4,外部委託先評価報告書・SLAレポート・KPI達成状況,2025-12-26,2025/Q1-Q4,外部委託先評価報告書4四半期分（Excel）/SLAレポート（委託先提供PDF）/KPI達成状況ダッシュボード（Tableau）,四半期ごとに評価が実施されているか/SLA項目の達成率が基準（95%以上）を満たしているか/未達項目がある場合に改善要求と対応記録があるか/評価結果が委託先にフィードバックされているか,適合,なし
ITGC-024,外部委託管理,外部委託先の監査,外部委託先の統制状況が不明なリスク,外部委託先のSOC2レポートを入手し、レビューする,年次,IT部門長,整備状況評価,外部委託先監査要領の閲覧・査閲,1,外部委託先監査要領,2025-11-22,2025年度,「外部委託先監査要領 v1.5」,SOC2レポート入手の義務付けが明記されているか/レポートのレビュー項目（統制目標・テスト結果・例外事項等）が定義されているか/例外事項への対応プロセスが定義されているか,適合,なし
ITGC-024,外部委託管理,外部委託先の監査,外部委託先の統制状況が不明なリスク,外部委託先のSOC2レポートを入手し、レビューする,年次,IT部門長,運用状況評価,SOC2レポートとレビュー記録の査閲および指摘事項の対応状況確認,3,SOC2レポート・レビュー記録・指摘事項対応記録,2025-12-27,2023-2025,SOC2 Type IIレポート3年分（PDF・英文）/レビュー記録（Excel）/指摘事項対応記録,年次でSOC2レポートが入手されているか/レポートの対象期間が適切か（過去12ヶ月）/統制目標の適合意見が得られているか/例外事項がある場合に委託先の対応計画が確認されているか/重要な例外事項について代替統制が検討されているか,適合,なし
